	SRR7359524	SRR7359523	SRR7359522	SRR7359521	SRR7359528	SRR7359527	SRR7359526	SRR7359525
peak_100199	0	0	0	0	0	0	0	1.97986593366898
peak_1002	0	0	0	0	0	0.776145176973932	0.717594443942245	0
peak_10020	0	2.35834994462003	0	0	0	0	0	0.659955311222994
peak_100200	0	0	0	0	0	0.776145176973932	0	0
peak_100201	0	0	0	0	0	0	0.717594443942245	0
peak_100202	0	0	0	0	0	0.776145176973932	0	0
peak_100203	0	0	0	0	0	0	0	0.659955311222994
peak_100204	0	0	0	0	0	0	0	1.31991062244599
peak_100205	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100206	0	0	0	0	0	0.776145176973932	0	0
peak_100207	0	0	0	0	0	0.776145176973932	0	0
peak_100208	0	0	0	0	0.921147873931724	0.776145176973932	0	0
peak_100209	0	0	0	0	2.76344362179517	0.776145176973932	0	0
peak_10021	0	0	0	0	0	0	0.717594443942245	0
peak_100210	0	0	1.49556127951153	0	1.84229574786345	0	0	0
peak_100211	0	0	0	0	0	0.776145176973932	0	0
peak_100212	0	0	0	0	0	0	0.717594443942245	0
peak_100213	0	0	0	0	0	0	0.717594443942245	0
peak_100214	0	0	0	0	0	0	0.717594443942245	0
peak_100215	0	0	0	2.91602228432661	0	0	0.717594443942245	0
peak_100216	0	0	0	0	0	0.776145176973932	0	0
peak_100217	0	0	0	0	0	0	0	0.659955311222994
peak_100218	0	0	0	0	0	0	0	0.659955311222994
peak_100219	0	0	0	0	0	0	0	0.659955311222994
peak_10022	0	0	0	0	0	0	0	0.659955311222994
peak_100220	0	0	0	0	0	0	0	0.659955311222994
peak_100221	0	0	0	0	0	0	0.717594443942245	0.659955311222994
peak_100222	0	0	0	0	0	0	0.717594443942245	0
peak_100223	0	0	0	0	0	0.776145176973932	0	0
peak_100224	0	0	0	0	0	0.776145176973932	0	0
peak_100225	0	0	0	0	0	0.776145176973932	0	0
peak_100226	0	0	0	0	0	0	0.717594443942245	0
peak_100227	0	0	0	0	0	0.776145176973932	0	0
peak_100228	0	0	0	0	0	0.776145176973932	0	0
peak_100229	0	0	0	0	1.84229574786345	0	0	0.659955311222994
peak_10023	0	0	0	0	0	0	0	0.659955311222994
peak_100230	0	0	0	0	0	0	0	0.659955311222994
peak_100231	0	0	0	1.4580111421633	0.921147873931724	1.55229035394786	0	0
peak_100232	0	1.17917497231001	0	0	0	0	0	0.659955311222994
peak_100233	0	0	0	0	0	0	0.717594443942245	0
peak_100234	0	0	0	0	0	0	0	0.659955311222994
peak_100235	0	0	0	0	0	0.776145176973932	0	0
peak_100236	0	0	0	0	0	0	0	0.659955311222994
peak_100237	0	0	0	1.4580111421633	0	0	0	0.659955311222994
peak_100238	0	0	0	0	0	0.776145176973932	0	1.31991062244599
peak_100239	0	0	0	0	1.84229574786345	0	0	1.97986593366898
peak_10024	0	0	0	0	0	0	0.717594443942245	0
peak_100240	0	0	0	0	1.84229574786345	0	0	0
peak_100241	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100242	0	0	0	0	0	1.55229035394786	0	0
peak_100243	0	0	0	0	2.76344362179517	0	0	1.31991062244599
peak_100244	0	0	0	0	0	0	0.717594443942245	0
peak_100245	0	0	0	0	0	0.776145176973932	0	0
peak_100246	0	0	0	0	0	0.776145176973932	0	0
peak_100247	0	0	0	1.4580111421633	2.76344362179517	0	0	0
peak_100248	0	0	0	0	0	0.776145176973932	0	0
peak_100249	0	0	0	0	0	0	0.717594443942245	0
peak_10025	0	0	0	0	0	0	0.717594443942245	0
peak_100250	0	0	0	0	0	0	0	0.659955311222994
peak_100251	0	0	0	0	0	0.776145176973932	0	0
peak_100252	0	0	0	0	0	0	0	0.659955311222994
peak_100253	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100254	0	0	0	0	0	0	0.717594443942245	0
peak_100255	0	0	0	0	0	0	0.717594443942245	0
peak_100256	0	0	0	0	0	0.776145176973932	0	0
peak_100257	0	0	0	0	0	0	0	0.659955311222994
peak_100258	0	0	0	0	0	0	0	0.659955311222994
peak_100259	0	0	0	0	0	0.776145176973932	0	0
peak_10026	0	0	1.49556127951153	0	0	0	0	0.659955311222994
peak_100260	0	0	1.49556127951153	0	0	0	0	0.659955311222994
peak_100261	0	0	0	0	0	0	0.717594443942245	0
peak_100262	0	0	0	0	0	0	0.717594443942245	0
peak_100263	0	0	0	0	0	0.776145176973932	0	0
peak_100264	0	0	0	0	0	0	0	0.659955311222994
peak_100265	0	0	0	0	0	0	0.717594443942245	0
peak_100266	0	0	0	0	0	0	0.717594443942245	0
peak_100267	0	0	0	0	0	0	0	1.31991062244599
peak_100268	0	0	0	0	0	1.55229035394786	0	0
peak_100269	0	0	0	0	0.921147873931724	0.776145176973932	0	0
peak_10027	0	0	0	0	0	0	0.717594443942245	0
peak_100270	0	0	1.49556127951153	1.4580111421633	0.921147873931724	2.3284355309218	0	0
peak_100271	0	0	0	1.4580111421633	2.76344362179517	0	0	0
peak_100272	0	0	0	0	0	0	0	1.31991062244599
peak_100273	0	0	0	0	1.84229574786345	0	0	0
peak_100274	0	0	0	0	0	0	0	0.659955311222994
peak_100275	0	0	0	0	0	0	0	1.31991062244599
peak_100276	0	0	0	0	0	0	0	0.659955311222994
peak_100277	0	0	0	0	0	0.776145176973932	0	0
peak_100278	0	0	0	0	0	0	0	1.31991062244599
peak_100279	0	0	0	0	0	0.776145176973932	0	0.659955311222994
peak_10028	0	0	0	0	0	0	0.717594443942245	0
peak_100280	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100281	0	0	0	1.4580111421633	0	0	1.43518888788449	0
peak_100282	0	0	0	0	0	0	0	0.659955311222994
peak_100283	0	0	0	0	1.84229574786345	0	0	0
peak_100284	0	0	0	0	0	0	1.43518888788449	0
peak_100285	0	0	0	0	1.84229574786345	0	0.717594443942245	0.659955311222994
peak_100286	0	0	0	0	0	0	0	0.659955311222994
peak_100287	0	0	0	0	0	0.776145176973932	0	0
peak_100288	0	0	0	0	0	0	0.717594443942245	0
peak_100289	0	0	0	0	0	0	0	0.659955311222994
peak_10029	0	0	0	0	0	0	0.717594443942245	0
